id,province,city,name,rooms,area,price,district,address,status,origin_url
1,直辖市,北京,西城天铸,2居/3居,84~89平米,77800元/㎡,[丰台],六里桥西南角,在售,https://xichengtianzhu.fang.com/
2,直辖市,北京,金茂保利首开熙悦天寰,3居/4居,89~138平米,价格待定,[丰台],西五环园博大道与北宫路交口南400米,待售,https://128163.fang.com/
3,直辖市,北京,雅居乐京华雅郡,2居/3居/4居,80~134平米,价格待定,[大兴],四海路与合海街交叉口,待售,https://jinghuayajunyjl.fang.com/
4,直辖市,北京,香河大爱城·雅园,2居/3居,89~138平米,12500元/㎡,[香河],东至西梨园农田南至爱晚大道、西至恒康...,在售,https://daaichengaw.fang.com/
5,直辖市,北京,首开香溪郡,1居/3居/4居/5居,70~207平米,40000元/㎡,[通州],宋庄镇荷香2号院首开香溪郡售楼处,在售,https://xiangxijunsk.fang.com/
6,直辖市,北京,通州万国城MOMA,3居,112~149平米,70000元/㎡,[通州],"玉桥西路与运河西大街交汇处,通州区青少...",在售,https://wanguochengmomatz.fang.com/
7,直辖市,北京,中海寰宇天下,2居/3居/4居,82~172平米,63500元/㎡,[石景山],阜石路与北辛安路交叉口南,在售,https://huanyuntianxiazh.fang.com/
8,直辖市,北京,翡翠西湖,3居,90平米,320万元/套,[丰台],泉湖西路与山湖路交汇处(青龙湖公园东门...,在售,https://feicuixihu.fang.com/
9,直辖市,北京,中海丽春湖墅·SMART墅,3居/4居/5居,89~304平米,660万元/套起,[昌平],地铁昌平线沙河地铁站南600米,在售,https://lichunhushuzh.fang.com/
10,直辖市,北京,北京城建·世华龙樾,4居,190~320平米,82600元/㎡,[海淀],清河小营桥东700米,在售,https://shihualongyuebjcj.fang.com/
11,直辖市,北京,中铁诺德春风和院,3居/4居,72~139平米,67702元/㎡,[丰台],白盆窑六圈路和樊羊路交汇处东南,在售,https://nuodechunfengheyuanzgzt.fang.com/
12,直辖市,北京,中铁华侨城·和园,2居/3居/4居,153~290平米,65000元/㎡,[大兴],五环南海子公园西,在售,https://heyuanzthqc.fang.com/
13,直辖市,北京,北京华发·中央公园,3居/4居,85~139平米,41000元/㎡,[房山],地铁良乡大学城站南约900米,在售,https://huafazhongyanggongyuan.fang.com/
